File Name,Project,Control,Peak Type,Aligner,Peak Caller,Deduplicator,Test,Peak Counts
Namani_no_control_narrow_bwa_mem_genrich_samtools_test3_peaks,Namani,no_control,narrow,bwa_mem,genrich,samtools,test3,226442
Namani_no_control_narrow_bwa_mem_macs3_no_deduplication_test1_peaks,Namani,no_control,narrow,bwa_mem,macs3,no_deduplication,test1,2861
Namani_no_control_narrow_bwa_mem_macs3_no_deduplication_test2_peaks,Namani,no_control,narrow,bwa_mem,macs3,no_deduplication,test2,2861
Namani_no_control_narrow_bwa_mem_macs3_no_deduplication_test3_peaks,Namani,no_control,narrow,bwa_mem,macs3,no_deduplication,test3,2861
Namani_no_control_narrow_bwa_mem_macs3_picard_test1_peaks,Namani,no_control,narrow,bwa_mem,macs3,picard,test1,2850
Namani_no_control_narrow_bwa_mem_macs3_picard_test2_peaks,Namani,no_control,narrow,bwa_mem,macs3,picard,test2,2850
Namani_no_control_narrow_bwa_mem_macs3_picard_test3_peaks,Namani,no_control,narrow,bwa_mem,macs3,picard,test3,2850
Namani_no_control_narrow_bwa_mem_macs3_sambamba_test1_peaks,Namani,no_control,narrow,bwa_mem,macs3,sambamba,test1,2850
Namani_no_control_narrow_bwa_mem_macs3_sambamba_test2_peaks,Namani,no_control,narrow,bwa_mem,macs3,sambamba,test2,2850
Namani_no_control_narrow_bwa_mem_macs3_sambamba_test3_peaks,Namani,no_control,narrow,bwa_mem,macs3,sambamba,test3,2850
Namani_no_control_narrow_bwa_mem_macs3_samtools_test1_peaks,Namani,no_control,narrow,bwa_mem,macs3,samtools,test1,2850
Namani_no_control_narrow_bwa_mem_macs3_samtools_test2_peaks,Namani,no_control,narrow,bwa_mem,macs3,samtools,test2,2850
Namani_no_control_narrow_bwa_mem_macs3_samtools_test3_peaks,Namani,no_control,narrow,bwa_mem,macs3,samtools,test3,2850
Namani_with_control_broad_STAR_cisgenome_no_deduplication_test1_peaks,Namani,with_control,broad,STAR,cisgenome,no_deduplication,test1,6745
Namani_with_control_broad_STAR_cisgenome_no_deduplication_test2_peaks,Namani,with_control,broad,STAR,cisgenome,no_deduplication,test2,6745
Namani_with_control_broad_STAR_cisgenome_no_deduplication_test3_peaks,Namani,with_control,broad,STAR,cisgenome,no_deduplication,test3,6745
Namani_with_control_broad_STAR_cisgenome_picard_test1_peaks,Namani,with_control,broad,STAR,cisgenome,picard,test1,3651
Namani_with_control_broad_STAR_cisgenome_picard_test2_peaks,Namani,with_control,broad,STAR,cisgenome,picard,test2,3651
Namani_with_control_broad_STAR_cisgenome_picard_test3_peaks,Namani,with_control,broad,STAR,cisgenome,picard,test3,3651
Namani_with_control_broad_STAR_cisgenome_sambamba_test1_peaks,Namani,with_control,broad,STAR,cisgenome,sambamba,test1,3651
Namani_with_control_broad_STAR_cisgenome_sambamba_test2_peaks,Namani,with_control,broad,STAR,cisgenome,sambamba,test2,3651
Namani_with_control_broad_STAR_cisgenome_sambamba_test3_peaks,Namani,with_control,broad,STAR,cisgenome,sambamba,test3,3651
Namani_with_control_broad_STAR_cisgenome_samtools_test1_peaks,Namani,with_control,broad,STAR,cisgenome,samtools,test1,3651
Namani_with_control_broad_STAR_cisgenome_samtools_test2_peaks,Namani,with_control,broad,STAR,cisgenome,samtools,test2,3651
Namani_with_control_broad_STAR_cisgenome_samtools_test3_peaks,Namani,with_control,broad,STAR,cisgenome,samtools,test3,3651
Namani_with_control_broad_STAR_genrich_no_deduplication_test1_peaks,Namani,with_control,broad,STAR,genrich,no_deduplication,test1,221952
Namani_with_control_broad_STAR_genrich_no_deduplication_test2_peaks,Namani,with_control,broad,STAR,genrich,no_deduplication,test2,221952
Namani_with_control_broad_STAR_genrich_no_deduplication_test3_peaks,Namani,with_control,broad,STAR,genrich,no_deduplication,test3,221952
Namani_with_control_broad_STAR_genrich_picard_test1_peaks,Namani,with_control,broad,STAR,genrich,picard,test1,151732
Namani_with_control_broad_STAR_genrich_picard_test2_peaks,Namani,with_control,broad,STAR,genrich,picard,test2,151732
Namani_with_control_broad_STAR_genrich_picard_test3_peaks,Namani,with_control,broad,STAR,genrich,picard,test3,151732
Namani_with_control_broad_STAR_genrich_sambamba_test1_peaks,Namani,with_control,broad,STAR,genrich,sambamba,test1,151732
Namani_with_control_broad_STAR_genrich_sambamba_test2_peaks,Namani,with_control,broad,STAR,genrich,sambamba,test2,151732
Namani_with_control_broad_STAR_genrich_sambamba_test3_peaks,Namani,with_control,broad,STAR,genrich,sambamba,test3,151732
Namani_with_control_broad_STAR_genrich_samtools_test1_peaks,Namani,with_control,broad,STAR,genrich,samtools,test1,151732
Namani_with_control_broad_STAR_genrich_samtools_test2_peaks,Namani,with_control,broad,STAR,genrich,samtools,test2,151732
Namani_with_control_broad_STAR_genrich_samtools_test3_peaks,Namani,with_control,broad,STAR,genrich,samtools,test3,151732
Namani_with_control_broad_STAR_macs3_no_deduplication_test1_peaks,Namani,with_control,broad,STAR,macs3,no_deduplication,test1,3297
Namani_with_control_broad_STAR_macs3_no_deduplication_test2_peaks,Namani,with_control,broad,STAR,macs3,no_deduplication,test2,3297
Namani_with_control_broad_STAR_macs3_no_deduplication_test3_peaks,Namani,with_control,broad,STAR,macs3,no_deduplication,test3,3297
Namani_with_control_broad_STAR_macs3_picard_test1_peaks,Namani,with_control,broad,STAR,macs3,picard,test1,3296
Namani_with_control_broad_STAR_macs3_picard_test2_peaks,Namani,with_control,broad,STAR,macs3,picard,test2,3296
Namani_with_control_broad_STAR_macs3_picard_test3_peaks,Namani,with_control,broad,STAR,macs3,picard,test3,3296
Namani_with_control_broad_STAR_macs3_sambamba_test1_peaks,Namani,with_control,broad,STAR,macs3,sambamba,test1,3296
Namani_with_control_broad_STAR_macs3_sambamba_test2_peaks,Namani,with_control,broad,STAR,macs3,sambamba,test2,3296
Namani_with_control_broad_STAR_macs3_sambamba_test3_peaks,Namani,with_control,broad,STAR,macs3,sambamba,test3,3296
Namani_with_control_broad_STAR_macs3_samtools_test1_peaks,Namani,with_control,broad,STAR,macs3,samtools,test1,3296
Namani_with_control_broad_STAR_macs3_samtools_test2_peaks,Namani,with_control,broad,STAR,macs3,samtools,test2,3296
Namani_with_control_broad_STAR_macs3_samtools_test3_peaks,Namani,with_control,broad,STAR,macs3,samtools,test3,3296
Namani_with_control_broad_STAR_pepr_no_deduplication_test1_peaks,Namani,with_control,broad,STAR,pepr,no_deduplication,test1,57
Namani_with_control_broad_STAR_pepr_no_deduplication_test2_peaks,Namani,with_control,broad,STAR,pepr,no_deduplication,test2,57
Namani_with_control_broad_STAR_pepr_no_deduplication_test3_peaks,Namani,with_control,broad,STAR,pepr,no_deduplication,test3,57
Namani_with_control_broad_STAR_pepr_picard_test1_peaks,Namani,with_control,broad,STAR,pepr,picard,test1,31
Namani_with_control_broad_STAR_pepr_picard_test2_peaks,Namani,with_control,broad,STAR,pepr,picard,test2,31
Namani_with_control_broad_STAR_pepr_picard_test3_peaks,Namani,with_control,broad,STAR,pepr,picard,test3,31
Namani_with_control_broad_STAR_pepr_sambamba_test1_peaks,Namani,with_control,broad,STAR,pepr,sambamba,test1,31
Namani_with_control_broad_STAR_pepr_sambamba_test2_peaks,Namani,with_control,broad,STAR,pepr,sambamba,test2,31
Namani_with_control_broad_STAR_pepr_sambamba_test3_peaks,Namani,with_control,broad,STAR,pepr,sambamba,test3,31
Namani_with_control_broad_STAR_pepr_samtools_test1_peaks,Namani,with_control,broad,STAR,pepr,samtools,test1,31
Namani_with_control_broad_STAR_pepr_samtools_test2_peaks,Namani,with_control,broad,STAR,pepr,samtools,test2,31
Namani_with_control_broad_STAR_pepr_samtools_test3_peaks,Namani,with_control,broad,STAR,pepr,samtools,test3,31
Namani_with_control_broad_bowtie2_cisgenome_no_deduplication_test1_peaks,Namani,with_control,broad,bowtie2,cisgenome,no_deduplication,test1,6314
Namani_with_control_broad_bowtie2_cisgenome_no_deduplication_test2_peaks,Namani,with_control,broad,bowtie2,cisgenome,no_deduplication,test2,6314
Namani_with_control_broad_bowtie2_cisgenome_no_deduplication_test3_peaks,Namani,with_control,broad,bowtie2,cisgenome,no_deduplication,test3,6314
Namani_with_control_broad_bowtie2_cisgenome_picard_test1_peaks,Namani,with_control,broad,bowtie2,cisgenome,picard,test1,3504
Namani_with_control_broad_bowtie2_cisgenome_picard_test2_peaks,Namani,with_control,broad,bowtie2,cisgenome,picard,test2,3504
Namani_with_control_broad_bowtie2_cisgenome_picard_test3_peaks,Namani,with_control,broad,bowtie2,cisgenome,picard,test3,3504
Namani_with_control_broad_bowtie2_cisgenome_sambamba_test1_peaks,Namani,with_control,broad,bowtie2,cisgenome,sambamba,test1,3504
Namani_with_control_broad_bowtie2_cisgenome_sambamba_test2_peaks,Namani,with_control,broad,bowtie2,cisgenome,sambamba,test2,3504
Namani_with_control_broad_bowtie2_cisgenome_sambamba_test3_peaks,Namani,with_control,broad,bowtie2,cisgenome,sambamba,test3,3504
Namani_with_control_broad_bowtie2_cisgenome_samtools_test1_peaks,Namani,with_control,broad,bowtie2,cisgenome,samtools,test1,3504
Namani_with_control_broad_bowtie2_cisgenome_samtools_test2_peaks,Namani,with_control,broad,bowtie2,cisgenome,samtools,test2,3504
Namani_with_control_broad_bowtie2_cisgenome_samtools_test3_peaks,Namani,with_control,broad,bowtie2,cisgenome,samtools,test3,3504
Namani_with_control_broad_bowtie2_genrich_no_deduplication_test1_peaks,Namani,with_control,broad,bowtie2,genrich,no_deduplication,test1,220036
Namani_with_control_broad_bowtie2_genrich_no_deduplication_test2_peaks,Namani,with_control,broad,bowtie2,genrich,no_deduplication,test2,220036
Namani_with_control_broad_bowtie2_genrich_no_deduplication_test3_peaks,Namani,with_control,broad,bowtie2,genrich,no_deduplication,test3,220036
Namani_with_control_broad_bowtie2_genrich_picard_test1_peaks,Namani,with_control,broad,bowtie2,genrich,picard,test1,156761
Namani_with_control_broad_bowtie2_genrich_picard_test2_peaks,Namani,with_control,broad,bowtie2,genrich,picard,test2,156761
Namani_with_control_broad_bowtie2_genrich_picard_test3_peaks,Namani,with_control,broad,bowtie2,genrich,picard,test3,156761
Namani_with_control_broad_bowtie2_genrich_sambamba_test1_peaks,Namani,with_control,broad,bowtie2,genrich,sambamba,test1,156761
Namani_with_control_broad_bowtie2_genrich_sambamba_test2_peaks,Namani,with_control,broad,bowtie2,genrich,sambamba,test2,156761
Namani_with_control_broad_bowtie2_genrich_sambamba_test3_peaks,Namani,with_control,broad,bowtie2,genrich,sambamba,test3,156761
Namani_with_control_broad_bowtie2_genrich_samtools_test1_peaks,Namani,with_control,broad,bowtie2,genrich,samtools,test1,156761
Namani_with_control_broad_bowtie2_genrich_samtools_test2_peaks,Namani,with_control,broad,bowtie2,genrich,samtools,test2,156761
